Occurrences	Word	Length	Freq_HAL	Log_Freq_HAL	POS
2	physics	7	29,221	10.283	NN
1	place	5	195,199	12.182	NN|VB
2	plan	4	63,172	11.054	NN|VB
1	plane	5	18,677	9.835	NN|VB
8	planet	6	26,589	10.188	NN
1	planning	8	32,800	10.398	NN|VB
1	popcorn	7	949	6.855	NN
2	population	10	33,381	10.416	NN
1	possession	10	6,706	8.811	NN
2	possibility	11	22,286	10.012	NN
1	potato	6	3,178	8.064	NN
2	practice	8	44,294	10.699	NN|VB
11	precedent	9	2,839	7.951	NN
2	prejudice	9	5,633	8.636	NN|VB
1	preparation	11	7,067	8.863	NN
1	preservation	12	3,765	8.234	NN
2	president	9	74,841	11.223	NN
1	price	5	153,716	11.943	NN|VB
3	problem	7	314,595	12.659	NN
5	production	10	42,061	10.647	NN
4	professor	9	18,143	9.806	NN
4	profit	6	19,954	9.901	NN|VB
2	project	7	89,569	11.403	NN
1	prominence	10	504	6.223	NN
1	property	8	33,095	10.407	NN
1	proton	6	1,622	7.391	NN
2	proximity	9	1,700	7.438	NN
1	psychiatry	10	1,500	7.313	NN
11	psychology	10	10,145	9.225	NN
1	quarrel	7	631	6.447	NN|VB
1	queen	5	17,473	9.768	NN
1	rabbi	5	3,672	8.208	NN
2	racism	6	8,554	9.054	NN
1	racket	6	671	6.509	NN
2	radio	5	71,946	11.184	NN|VB
3	reason	6	133,687	11.803	NN|VB
2	recess	6	511	6.236	NN
2	recognition	11	11,207	9.324	NN
2	recommendation	14	6,088	8.714	NN
1	record	6	61,996	11.035	NN
1	recovery	8	9,992	9.210	NN
1	registration	12	24,392	10.102	NN
3	report	6	90,838	11.417	NN|VB
1	reservation	11	3,656	8.204	NN
1	rock	4	44,285	10.698	NN|VB
1	rook	4	637	6.457	NN
3	rooster	7	516	6.246	NN
2	round	5	47,080	10.760	JJ|NN|VB
1	row	3	14,013	9.548	NN|VB
2	school	6	119,951	11.695	NN|VB
1	science	7	99,256	11.505	NN
1	scientist	9	9,071	9.113	NN
1	sea	3	36,736	10.512	NN
3	seafood	7	966	6.873	NN
1	season	6	37,562	10.534	NN
1	secret	6	35,327	10.472	JJ|NN
3	secretary	9	14,898	9.609	NN
1	seepage	7	110	4.700	NN
1	senate	6	16,880	9.734	NN|JJ
2	serial	6	29,800	10.302	JJ|NN
3	series	6	90,751	11.416	NN
2	seven	5	22,750	10.032	minor|NN
4	sex	3	65,480	11.090	NN|VB
3	shore	5	6,111	8.718	NN|VB
2	shower	6	6,874	8.836	NN|VB
2	sign	4	39,389	10.581	NN|VB
2	similarity	10	2,636	7.877	NN
4	situation	9	59,523	10.994	NN
1	size	4	107,005	11.581	NN|VB
1	skin	4	24,973	10.126	NN|VB
2	slave	5	13,149	9.484	NN|VB
